"eng-30-00002684-n", "object", "1", "Un ente tangible y visible; una entidad que puede proyectar sombra.", "n", "spa", "NULL", "------",
"eng-30-00006484-n", "cell", "2", "Unidad estructural y funcional básica de todas las entidades vivientes; pueden existir como unidades independientes de la vida (como en los monades), o pueden formar colonias o tejidos, como en las plantas y animales superiores.", "n", "spa", "célula", "------",
"eng-30-00007347-n", "cause", "4", "Cualquier entidad que produzca un efecto o sea responsable de los eventos o resultados.", "n", "spa", "causa", "------",
"eng-30-00007846-n", "person", "1", "Una persona humana or un ser humano.", "n", "spa", "persona", "------",
"eng-30-00015388-n", "animal", "1", "Un ser vivo con movimiento voluntario.", "n", "spa", "animal", "------",
"eng-30-00017222-n", "plant", "2", "Un ser vivo que no posee la capacidad de movimiento (botánica).", "n", "spa", "planta", "------",
"eng-30-00019613-n", "substance", "1", "La materia física real que constituye una persona o cosa.", "n", "spa", "sustancia", "------",
"eng-30-00020827-n", "matter", "3", "Eso que tiene masa y ocupa espacio.", "n", "spa", "materia", "------",
"eng-30-00021265-n", "food", "1", "Cualquier sustancia que pueda ser metabolizada por un animal para dar energía y construir tejido.", "n", "spa", "alimentos", "------",
"eng-30-00023271-n", "knowledge", "1", "El resultado psicológico de la percepción y el aprendizaje y la razón.", "n", "spa", "conocimiento", "------",
"eng-30-00023773-n", "motivation", "1", "La característica psicológica que desencadena en un organismo la acción hacia un objetivo deseado; el motivo de la acción; lo que da sentido y dirección a la conducta.", "n", "spa", "motivación", "------",
"eng-30-00027167-n", "location", "1", "Un punto o extensión en el espacio.", "n", "spa", "NULL", "------",
"eng-30-00030358-n", "act", "2", "Algo que la gente hace o causa que suceda.", "n", "spa", "acto", "------",
"eng-30-00033020-n", "communication", "2", "Algo que se comunica por o entre las personas o grupos.", "n", "spa", "comunicación", "------",
"eng-30-00034213-n", "phenomenon", "1", "Cualquier estado o proceso conocido a través de los sentidos en lugar de la intuición o la razón.", "n", "spa", "fenómeno", "------",
